escuela,comuna,lon,lat,simce,costo,tipo
COLEGIO SAINT JAMES SCHOOL,BUIN,-70.76024233,-33.73421283,304,Más de $100.000 ,P. Pag.
COLEGIO CAMPANARIO,BUIN,-70.7354791,-33.76028191,297,Más de $100.000 ,P. Pag.
ESCUELA RAYEN MAPU,BUIN,-70.74528192,-33.72616503,233,Sin información ,Munic.
ESCUELA PARTICULAR SAN IGNACIO,CALERA DE TANGO,-70.80289673,-33.63710839,263,$1.000 a $10.000 ,P. Subv.
INSTITUTO CALERA DE TANGO,CALERA DE TANGO,-70.78276,-33.625954,231,$10.001 a $25.000 ,P. Subv.
COLEGIO SAN ANDRES DE CALERA DE TANGO,CALERA DE TANGO,-70.8166667,-33.65,301,$50.001 a $100.000 ,P. Subv.
LICEO MUNICIPAL POETISA GABRIELA MISTRAL,CALERA DE TANGO,-70.76014644,-33.63056435,235,Gratuito ,Munic.
COLEGIO CALERA DE TANGO,CALERA DE TANGO,-70.81222029,-33.63701715,239,Gratuito ,Munic.
COLEGIO  LONQUEN,CALERA DE TANGO,-70.78925351,-33.60713319,248,Gratuito ,Munic.
ESCUELA PARTICULAR SAN IGNACIO,CALERA DE TANGO,-70.80289673,-33.63710839,231,Gratuito ,P. Subv.
COLEGIO SAN BARTOLOME DE NOS,CALERA DE TANGO,-70.75168403,-33.63163141,275,Más de $100.000 ,P. Pag.
COLEGIO SAN FELIPE DIACONO,CALERA DE TANGO,-70.77152842,-33.57673675,299,Más de $100.000 ,P. Pag.
COLEGIO LA MISION,CALERA DE TANGO,-70.78199071,-33.62550808,299,Más de $100.000 ,P. Pag.
ESCUELA BASICA NO 3 CAMPOS DE MAIPU,CERRILLOS,-70.72300658,-33.49870389,259,$1.000 a $10.000 ,P. Subv.
ESC. BAS.SAN AGUSTIN DE CERRILLOS,CERRILLOS,-70.72166519,-33.50108527,237,$1.000 a $10.000 ,P. Subv.
COLEGIO INDUSTRIAL PART. DON ORIONE,CERRILLOS,-70.71444818,-33.50628959,288,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR SAINT RODRIC COLLEGE,CERRILLOS,-70.72548233,-33.5057576,257,$10.001 a $25.000 ,P. Subv.
ESC. BASICA PARTIC.SAINT MAURICES,CERRILLOS,-70.72780514,-33.50238855,259,$10.001 a $25.000 ,P. Subv.
ESCUELA BAS. AKORI,CERRILLOS,-70.72310704,-33.49834177,232,$10.001 a $25.000 ,P. Subv.
COLEGIO SAN JOSE DE CERRILLOS,CERRILLOS,-70.71720569,-33.50147182,227,$10.001 a $25.000 ,P. Subv.
COLEGIO LOS CONQUISTADORES,CERRILLOS,-70.72642853,-33.50949592,280,$25.001 a $50.000 ,P. Subv.
COLEGIO PARTICULAR MATER DEI,CERRILLOS,-70.71239045,-33.50019479,296,$25.001 a $50.000 ,P. Subv.
COLEGIO PETER COLLEGE - ANEXO,CERRILLOS,-70.72831846,-33.50221906,272,$25.001 a $50.000 ,P. Subv.
ESCUELA BASICA PEDRO AGUIRRE CERDA,CERRILLOS,-70.69230142,-33.48177632,227,Gratuito ,Munic.
LICEO DR. LUIS VARGAS SALCEDO,CERRILLOS,-70.73051696,-33.49856312,218,Gratuito ,Munic.
ESCUELA BASICA CONDORES DE PLATA,CERRILLOS,-70.71956479,-33.49339499,237,Gratuito ,Munic.
ESCUELA LOTHAR KOMMER BRUGER,CERRILLOS,-70.73353322,-33.50624037,242,Gratuito ,Munic.
ESCUELA CERRILLOS,CERRILLOS,-70.70986023,-33.49359244,229,Gratuito ,Munic.
ESCUELA J.PRIETO VIAL,CERRILLOS,-70.73788936,-33.50929054,242,Gratuito ,Munic.
ESCUELA ESTRELLA REINA DE CHILE,CERRILLOS,-70.72438784,-33.49996523,231,Gratuito ,Munic.
ESCUELA SANTA ADELA,CERRILLOS,-70.71668361,-33.50991995,248,Gratuito ,Munic.
EJERCITO LIBERTADOR DE CERRILLOS,CERRILLOS,-70.72291698,-33.4887492,213,Gratuito ,Munic.
ESCUELA PARTICULAR AMOR DE DIOS,CERRILLOS,-70.6857803,-33.47958363,263,Gratuito ,P. Subv.
ESCUELA BAS. AKORI,CERRILLOS,-70.72310704,-33.49834177,184,Sin información ,P. Subv.
ESCUELA PARTICULAR ESPANA,CERRO NAVIA,-70.72877761,-33.41912,236,$1.000 a $10.000 ,P. Subv.
COLEGIO CRISTIAN AND CAREN SCHOOL,CERRO NAVIA,-70.71917476,-33.42132767,283,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR ROBERT KENNEDY,CERRO NAVIA,-70.73374986,-33.42905169,244,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR LA FRONTERA,CERRO NAVIA,-70.74877771,-33.42811921,237,$1.000 a $10.000 ,P. Subv.
ESCUELA BASICA PARTICULAR HORIZONTE 11,CERRO NAVIA,-70.74507204,-33.41653806,263,$1.000 a $10.000 ,P. Subv.
ESCUELA DIVINO MAESTRO,CERRO NAVIA,-70.76669427,-33.41478002,230,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR MONTE GRANDE,CERRO NAVIA,-70.72015625,-33.43182922,255,$10.001 a $25.000 ,P. Subv.
ESCUELA CHARLES SCHOOL-DIURNA,CERRO NAVIA,-70.72984181,-33.43319148,227,$10.001 a $25.000 ,P. Subv.
ESCUELA BASICA  MOLOKAI,CERRO NAVIA,-70.73732017,-33.42956986,253,$10.001 a $25.000 ,P. Subv.
COLEGIO POLIV. SAINT ORLAND N 3,CERRO NAVIA,-70.75705343,-33.41716249,263,$10.001 a $25.000 ,P. Subv.
ESCUELA ALIANZA,CERRO NAVIA,-70.76266217,-33.41426926,222,Gratuito ,Munic.
ESCUELA PRESIDENTE ROOSEVELT,CERRO NAVIA,-70.73693938,-33.43366942,247,Gratuito ,Munic.
ESCUELA REPUBLICA DE ITALIA,CERRO NAVIA,-70.73442201,-33.42661642,241,Gratuito ,Munic.
ESCUELA REPUBLICA DE CROACIA,CERRO NAVIA,-70.72982101,-33.43376893,230,Gratuito ,Munic.
ESCUELA HERMINDA DE LA VICTORIA,CERRO NAVIA,-70.73743334,-33.424455,238,Gratuito ,Munic.
ESCUELA MILLAHUE,CERRO NAVIA,-70.74301422,-33.42011112,231,Gratuito ,Munic.
ESCUELA DIVINO MAESTRO,CERRO NAVIA,-70.76669427,-33.41478002,217,Gratuito ,Munic.
ESCUELA PROVINCIA DE ARAUCO,CERRO NAVIA,-70.71921635,-33.42343734,208,Gratuito ,Munic.
ESCUELA GENERAL RENE ESCAURIAZA,CERRO NAVIA,-70.74861206,-33.42575881,229,Gratuito ,Munic.
ESCUELA FEDERICO ACEVEDO SALAZAR,CERRO NAVIA,-70.75477455,-33.42041421,220,Gratuito ,Munic.
ESCUELA BASICA PAULO FREIRE,CERRO NAVIA,-70.72544773,-33.41822849,229,Gratuito ,Munic.
ESCUELA LEONARDO DA VINCI,CERRO NAVIA,-70.74306127,-33.42730691,246,Gratuito ,Munic.
ESCUELA DOCTOR TREVISO GIRARDI TONELLI,CERRO NAVIA,-70.72811351,-33.4197966,219,Gratuito ,Munic.
ESCUELA PRESIDENTE ROOSEVELT,CERRO NAVIA,-70.73693938,-33.43366942,212,Gratuito ,Munic.
ESCUELA SANTANDER DE ESPANA,CERRO NAVIA,-70.74142162,-33.41629177,204,Gratuito ,Munic.
COLEGIO NEPTUNO,CERRO NAVIA,-70.72719078,-33.43510421,230,Gratuito ,Munic.
ESCUELA MARIA LUISA BOMBAL,CERRO NAVIA,-70.73578036,-33.41489188,227,Gratuito ,Munic.
ESCUELA CIUDAD SANTO DOMINGO DE GUZMAN,CERRO NAVIA,-70.7296774,-33.43032601,249,Gratuito ,Munic.
ESCUELA PROF. MANUEL GUERRERO CEBALLOS,CERRO NAVIA,-70.75325813,-33.41345565,221,Gratuito ,Munic.
ESCUELA SARGENTO CANDELARIA,CERRO NAVIA,-70.74132284,-33.42534735,225,Gratuito ,Munic.
COMPLEJO EDUCACIONAL CERRO NAVIA,CERRO NAVIA,-70.72426237,-33.41375393,213,Gratuito ,Munic.
COLEGIO CRISTIAN AND CAREN SCHOOL,CERRO NAVIA,-70.71917476,-33.42132767,229,Gratuito ,P. Subv.
ESCUELA PARTICULAR SAN FRANCISCO JAVIER,CERRO NAVIA,-70.72615364,-33.42129385,266,Gratuito ,P. Subv.
ESCUELA PARTICULAR SAN VICENTE FERRER,CERRO NAVIA,-70.74453626,-33.41340729,247,Gratuito ,P. Subv.
ESC BAS PART CENTRO EDUCACIONAL SN PABLO,CERRO NAVIA,-70.73431554,-33.42450767,237,Gratuito ,P. Subv.
ESCUELA PARTICULAR CARLOS PEZOA VELIZ,CERRO NAVIA,-70.72853905,-33.42715849,227,Gratuito ,P. Subv.
ESCUELA PARTICULAR ESPANA,CERRO NAVIA,-70.72877761,-33.41912,230,Sin información ,P. Subv.
ESCUELA SAINT MARY SCHOOL,COLINA,-70.67514279,-33.20553418,246,$1.000 a $10.000 ,P. Subv.
ESCUELA BASICA PART SANTA MARIA DE ESMERALDA,COLINA,-70.663683,-33.18045401,263,$1.000 a $10.000 ,P. Subv.
ESCUELA BAS. VALLE VERDE,COLINA,-70.67153441,-33.18106128,243,$1.000 a $10.000 ,P. Subv.
ESCUELA BAS. REINA NORTE,COLINA,-70.67708544,-33.18476538,216,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR PAPELUCHO,COLINA,-70.67687018,-33.20441967,239,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR DESIREE,COLINA,-70.6777575,-33.20200878,285,$10.001 a $25.000 ,P. Subv.
COLEGIO ABERSAN,COLINA,-70.65214188,-33.18153666,265,$10.001 a $25.000 ,P. Subv.
COLEGIO POLIVALENTE SEMBRADOR,COLINA,-70.67301071,-33.2045528,261,$10.001 a $25.000 ,P. Subv.
COLEGIO SAN ANTONIO DE COLINA,COLINA,-70.66148209,-33.18942082,291,$10.001 a $25.000 ,P. Subv.
ESCUELA INMACULADA CONCEPCION,COLINA,-70.67767536,-33.20501306,247,$10.001 a $25.000 ,P. Subv.
ESC. BASICA  SAN BENITO DE COLINA,COLINA,-70.67811831,-33.1956188,263,$10.001 a $25.000 ,P. Subv.
ESCUELA BAS. SAN SEBASTIAN DE COLINA,COLINA,-70.67828296,-33.20424731,266,$10.001 a $25.000 ,P. Subv.
ESCUELA BASICA MARCOS GOOYCOLEA CORTES,COLINA,-70.67948306,-33.20698176,240,Gratuito ,Munic.
ESCUELA BASICA SANTA TERESA DEL CARMELO,COLINA,-70.67328905,-33.20564931,255,Gratuito ,Munic.
ESCUELA PREMIO NOBEL PABLO NERUDA,COLINA,-70.67370904,-33.195588,262,Gratuito ,Munic.
ANDALIEN DE COLINA,COLINA,-70.68373231,-33.20815085,233,Gratuito ,Munic.
LICEO ESMERALDA,COLINA,-70.67893139,-33.20899132,237,Gratuito ,Munic.
ESCUELA BASICA ALGARROBAL,COLINA,-70.68074627,-33.21132966,261,Gratuito ,Munic.
ESC.BASICA CORONEL ENRIQUE CABRERA J.,COLINA,-70.67696387,-33.20651973,240,Gratuito ,Munic.
ESC.BASICA FRANCISCO PETRINOVIC KARLOVAC,COLINA,-70.67510843,-33.20373094,269,Gratuito ,Munic.
ESCUELA BASICA SAN VICENTE DE LO ARCAYA,COLINA,-70.68549902,-33.24264967,236,Gratuito ,Munic.
ESCUELA BASICA SANTA MARTA DE LIRAY,COLINA,-70.75265448,-33.24710519,250,Gratuito ,Munic.
ESCUELA SAN FRANCISCO DE ASIS,COLINA,-70.67860951,-33.26513568,279,Gratuito ,Munic.
ESCUELA PARTICULAR JUAN CALVINO,COLINA,-70.66251752,-33.19142715,241,Gratuito ,P. Subv.
ESCUELA PART. STA. CLARISA DE COLINA,COLINA,-70.68033337,-33.20375969,229,Gratuito ,P. Subv.
ESCUELA DE PARV. PART. SAN JORGE DE COLINA,COLINA,-70.67877576,-33.21207775,274,Gratuito ,P. Subv.
COLEGIO SAN  ANSELMO,COLINA,-70.64244824,-33.27289667,313,Más de $100.000 ,P. Pag.
COLEGIO RAYEN MAHUIDA,COLINA,-70.72430651,-33.2650062,285,Más de $100.000 ,P. Pag.
COLEGIO SAN NICOL?S DI?CONO,COLINA,-70.70319747,-33.27973566,298,Más de $100.000 ,P. Pag.
COLEGIO SANTA CRUZ DE CHICUREO,COLINA,-70.67357317,-33.28643299,303,Más de $100.000 ,P. Pag.
COLEGIO MONTESSORI PUCALAN,COLINA,-70.70037999,-33.24184283,287,Más de $100.000 ,P. Pag.
COLEGIO  SAN JOSE DE CHICUREO,COLINA,-70.67007284,-33.23681542,314,Más de $100.000 ,P. Pag.
COLEGIO HIGHLANDS,COLINA,-70.66313851,-33.21859174,296,Más de $100.000 ,P. Pag.
COLEGIO DEL VERBO DIVINO DE CHICUREO,COLINA,-70.68630972,-33.28539504,296,Más de $100.000 ,P. Pag.
ESCUELA BASICA LINCOLN INTERN ACADEMY VALLE N,COLINA,-70.660908,-33.308097,299,Más de $100.000 ,P. Pag.
DUNALASTAIR VALLE NORTE,COLINA,-70.660822,-33.308294,299,Más de $100.000 ,P. Pag.
PUMAHUE CHICUREO,COLINA,-70.653102,-33.199378,303,Más de $100.000 ,P. Pag.
COLEGIO SAN ANDRES DE COLINA,COLINA,-70.67832345,-33.2041205,274,Sin información ,P. Subv.
ESCUELA BASICA INES DE SUAREZ,CONCHAL?,-70.66696759,-33.39290238,237,$1.000 a $10.000 ,P. Subv.
ESC. PART. UNION LATINOAMERICANA,CONCHAL?,-70.66780419,-33.39167366,239,$1.000 a $10.000 ,P. Subv.
ESCUELA PART. ADVENTISTA SANTIAGO NORTE,CONCHAL?,-70.69078267,-33.37134211,253,$1.000 a $10.000 ,P. Subv.
COLEGIO CRISTOBAL COLON,CONCHAL?,-70.68018927,-33.37548108,261,$10.001 a $25.000 ,P. Subv.
COLEGIO LIBERTADOR SAN MARTIN,CONCHAL?,-70.67529508,-33.38986829,244,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR EL CARMEN,CONCHAL?,-70.67730137,-33.38406046,258,$10.001 a $25.000 ,P. Subv.
ESCUELA PATROCINIO EL SEMBRADOR N 2,CONCHAL?,-70.67184716,-33.39620054,272,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR PARQUE ASUNCION,CONCHAL?,-70.67980743,-33.37183384,272,$10.001 a $25.000 ,P. Subv.
ESCUELA BAS. ISABEL GONZALEZ CARES,CONCHAL?,-70.66863828,-33.38356402,259,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR SAN DIEGO,CONCHAL?,-70.67908156,-33.38439712,256,$10.001 a $25.000 ,P. Subv.
CENTRO POLITECNICO PARTICULAR CONCHALI,CONCHAL?,-70.66111855,-33.38157266,256,$10.001 a $25.000 ,P. Subv.
ESCUELA BAS. SAN MATEO SCHOOL DE CONCHALI,CONCHAL?,-70.67701653,-33.37874352,246,$10.001 a $25.000 ,P. Subv.
ESCUELA BAS. CRISTIANO EL SEMBRADOR,CONCHAL?,-70.68133788,-33.37540239,239,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR SAN DIEGO,CONCHAL?,-70.67908156,-33.38439712,268,$25.001 a $50.000 ,P. Subv.
ESCUELA BASICA PART. THE LITTLE SCHOOL,CONCHAL?,-70.68032651,-33.38540835,291,$25.001 a $50.000 ,P. Subv.
COLEGIO HELLEN'S COLLEGE,CONCHAL?,-70.67519003,-33.38999596,270,$25.001 a $50.000 ,P. Subv.
ESCUELA BASICA PART.MARY ANNE SCHOOL,CONCHAL?,-70.68196536,-33.38287005,263,$25.001 a $50.000 ,P. Subv.
ESCUELA BASICA PARTICULAR TRUPAN,CONCHAL?,-70.67664414,-33.37558313,307,$25.001 a $50.000 ,P. Subv.
LICEO POETA FEDERICO GARCIA LORCA,CONCHAL?,-70.69085941,-33.36975384,219,Gratuito ,Munic.
LICEO POLIV. ABDON CIFUENTES,CONCHAL?,-70.6570753,-33.39565922,256,Gratuito ,Munic.
LICEO AGUSTIN EDWARDS,CONCHAL?,-70.66825004,-33.39925205,254,Gratuito ,Munic.
ESCUELA UNESCO,CONCHAL?,-70.67649958,-33.38149207,237,Gratuito ,Munic.
ESCUELA D-114,CONCHAL?,-70.67613523,-33.37202778,237,Gratuito ,Munic.
ESCUELA SOL NACIENTE,CONCHAL?,-70.66066144,-33.3874948,237,Gratuito ,Munic.
ESCUELA HORACIO JOHNSON GANA,CONCHAL?,-70.66729279,-33.37615102,233,Gratuito ,Munic.
ESCUELA DRA.ELOISA DIAZ INSUNZA,CONCHAL?,-70.65919933,-33.38183282,244,Gratuito ,Munic.
LICEO MUNC.ALMIRANTE GALVARINO RIVEROS,CONCHAL?,-70.68105497,-33.37298932,233,Gratuito ,Munic.
ESCUELA ARAUCARIAS DE CHILE,CONCHAL?,-70.66051538,-33.37981315,229,Gratuito ,Munic.
ESCUELA VALLE DEL INCA,CONCHAL?,-70.66624484,-33.38939495,245,Gratuito ,Munic.
ESCUELA PEDRO AGUIRRE CERDA,CONCHAL?,-70.68236815,-33.39429073,232,Gratuito ,Munic.
ESCUELA ALLIPEN,CONCHAL?,-70.68558427,-33.38044913,222,Gratuito ,Munic.
CENTRO EDUC. POETA EUSEBIO LILLO,CONCHAL?,-70.69290858,-33.37732831,246,Gratuito ,Munic.
ESCUELA ATENEA,CONCHAL?,-70.66926785,-33.39962614,261,Gratuito ,Munic.
ESCUELA AVIADOR DAGOBERTO GODOY F.,CONCHAL?,-70.67155477,-33.37868194,265,Gratuito ,Munic.
ESCUELA BASICA LIKAN-ANTAI,CONCHAL?,-70.66444164,-33.37600893,205,Gratuito ,Munic.
ESCUELA CAMILO HENRIQUEZ,CONCHAL?,-70.67907169,-33.38891541,242,Gratuito ,Munic.
ESC. ESPEC. PART. LAS CAMELIAS,CONCHALí,-70.6756,-33.3778,227,Gratuito ,P. Subv.
ESCUELA PARTICULAR ZOLTAN DIENES,CONCHAL?,-70.66361294,-33.38893426,247,Gratuito ,P. Subv.
ESC. BASICA LA PRADERA DE CURACAVI,CURACAV?,-71.14970757,-33.40755119,263,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR INSTITUTO SN.LUIS,CURACAV?,-71.1301769,-33.39982671,262,$10.001 a $25.000 ,P. Subv.
ESCUELA PART.  CURACAVI COLLEGE,CURACAV?,-71.12026997,-33.3894191,267,$10.001 a $25.000 ,P. Subv.
ESC. BASICA LA PRADERA DE CURACAVI,CURACAV?,-71.14970757,-33.40755119,275,$25.001 a $50.000 ,P. Subv.
ESCUELA BASICA DOLMEN,CURACAV?,-71.12894334,-33.40390568,270,$50.001 a $100.000 ,P. Pag.
ESCUELA BASICA VALLE DE PUANGUE,CURACAV?,-71.12955711,-33.39953978,235,Gratuito ,Munic.
ESCUELA SAN JOSE OBRERO DE CURACAVI,CURACAV?,-71.14297885,-33.40762255,247,Gratuito ,Munic.
ESCUELA FERNANDO CARVAJAL PINTO,CURACAV?,-71.03083712,-33.44726592,273,Gratuito ,Munic.
ESCUELA ELIECER PEREZ VARGAS,CURACAV?,-71.05954098,-33.40969452,272,Gratuito ,Munic.
ESCUELA HERIBERTO ERLWEIN  S.,CURACAV?,-71.19694733,-33.26503536,253,Gratuito ,Munic.
ESCUELA BAS. MUNIC. CUYUNCAVI,CURACAV?,-71.12344454,-33.39000503,240,Gratuito ,Munic.
ESCUELA ESPECIAL MC-KAY,CURACAV?,-71.12863312,-33.39515518,266,Gratuito ,P. Subv.
ESCUELA BAS. NTRA. SRA. DE LA GUARDIA,CURACAV?,-71.04775448,-33.48555512,266,Gratuito ,P. Subv.
ESCUELA BASICA EL CARMELO,CURACAV?,-71.04688015,-33.49458697,226,Gratuito ,P. Subv.
ESCUELA BASICA EL CARMELO,CURACAV?,-71.04688015,-33.49458697,262,Gratuito ,P. Subv.
ESC.NUESTRA SENORA DEL CARMEN DE CURACAV,CURACAV?,-71.12608996,-33.38872435,272,Gratuito ,P. Subv.
COLEGIO FARMLAND SCHOOL,CURACAV?,-71.13407181,-33.40654979,284,Más de $100.000 ,P. Pag.
ESCUELA BASICA PARTICULAR CLUB HIPICO,EL BOSQUE,-70.67720369,-33.58052226,246,$1.000 a $10.000 ,P. Subv.
COLEGIO POLITEC. MARIA GRISELDA VALLE S.,EL BOSQUE,-70.66455553,-33.57270308,279,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR MIGUEL DE CERVANTES,EL BOSQUE,-70.67285155,-33.58055413,236,$1.000 a $10.000 ,P. Subv.
COMPLEJO EDUC.PARTICULAR DE LAS ACACIAS,EL BOSQUE,-70.66914953,-33.56846584,255,$1.000 a $10.000 ,P. Subv.
COLEGIO SANTA BARBARA COLLEGE,EL BOSQUE,-70.66322102,-33.57502063,248,$1.000 a $10.000 ,P. Subv.
COLEGIO PARTICULAR JOSE ABELARDO NUNEZ,EL BOSQUE,-70.66392903,-33.5608257,252,$10.001 a $25.000 ,P. Subv.
COLEGIO TENIENTE DAGOBERTO GODOY,EL BOSQUE,-70.65755587,-33.55989217,259,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR HISPANO AMERICANO,EL BOSQUE,-70.67074669,-33.55127389,261,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR CAMPANITA,EL BOSQUE,-70.66629219,-33.55936003,265,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR STA.MARIA MAZZARELLO,EL BOSQUE,-70.65486923,-33.54892605,267,$10.001 a $25.000 ,P. Subv.
COLEGIO EL ALMENDRO,EL BOSQUE,-70.66274187,-33.57531565,239,$10.001 a $25.000 ,P. Subv.
COLEGIO VILLA SANTA MARIA,EL BOSQUE,-70.67449062,-33.55328844,231,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR JOSE MIGUEL CARRERA,EL BOSQUE,-70.67483983,-33.55184984,243,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR MARVIT SCHOOL,EL BOSQUE,-70.68305783,-33.56795281,249,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR MARIA MEDIANERA,EL BOSQUE,-70.68603549,-33.57870684,246,$10.001 a $25.000 ,P. Subv.
COLEGIO JUAN BAUTISTA DURAN,EL BOSQUE,-70.6877058,-33.57485141,248,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR EL BOSQUE,EL BOSQUE,-70.68164899,-33.56307517,259,$10.001 a $25.000 ,P. Subv.
CENTRO EDUC. DENVER COLORADO SCHOOL,EL BOSQUE,-70.69505117,-33.57309169,232,$10.001 a $25.000 ,P. Subv.
COLEGIO CRISTIANO BETHEL II,EL BOSQUE,-70.67058227,-33.56902366,244,$10.001 a $25.000 ,P. Subv.
ESCUELA BAS. NUESTRA SENORA MARIA INMACULADA,EL BOSQUE,-70.67588514,-33.55466737,264,$10.001 a $25.000 ,P. Subv.
ESCUELA BASICA PARTICULAR BREMEN,EL BOSQUE,-70.6567079,-33.55892056,259,$10.001 a $25.000 ,P. Subv.
ESC. BAS. NUEVA ESPERANZA DE EL BOSQUE,EL BOSQUE,-70.67391563,-33.57986338,235,$10.001 a $25.000 ,P. Subv.
ESCUELA BASICA SAN JAVIER DEL BOSQUE,EL BOSQUE,-70.66963038,-33.52789873,236,$10.001 a $25.000 ,P. Subv.
COMPLEJO EDUCACIONAL STELLA MARIS,EL BOSQUE,-70.67305976,-33.55672563,258,$25.001 a $50.000 ,P. Subv.
ESCUELA PARTICULAR VILLA EL SOL,EL BOSQUE,-70.65724583,-33.55775904,280,$25.001 a $50.000 ,P. Subv.
ESCUELA BASICA THE FOREST COLLEGE,EL BOSQUE,-70.65703132,-33.557807,273,$25.001 a $50.000 ,P. Subv.
COLEGIO PAUL HARRIS SCHOOL,EL BOSQUE,-70.68635337,-33.57566344,245,$25.001 a $50.000 ,P. Subv.
COLEGIO POLIVALENTE SAN AGUSTIN DE EL BOSQUE,EL BOSQUE,-70.68900805,-33.54988978,269,$25.001 a $50.000 ,P. Subv.
ESCUELA Y LICEO LIAHONA,EL BOSQUE,-70.6690285,-33.54705858,285,$50.001 a $100.000 ,P. Subv.
COLEGIO PARTICULAR TANTAUCO  EL BOSQUE,EL BOSQUE,-70.66910481,-33.55662573,288,$50.001 a $100.000 ,P. Subv.
COLEGIO SANTO TOMAS DE AQUINO,EL BOSQUE,-70.69796218,-33.58420703,288,$50.001 a $100.000 ,P. Subv.
ESCUELA BASICA AVIADORES,EL BOSQUE,-70.6643763,-33.54988977,237,Gratuito ,Munic.
ESCUELA BASICA MARIO ARCE GATICA,EL BOSQUE,-70.66426273,-33.56249857,225,Gratuito ,Munic.
